borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_datetime,hour,day_of_week,month,location_string,all_factors,vehicle_types
,,,,,KINGSLAND AVENUE,MEEKER AVENUE,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4486960,,,,,,2021-12-16 06:59:00,6,Thursday,12,KINGSLAND AVENUE_MEEKER AVENUE,['Traffic Control Disregarded'],[]
,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4624078,Sedan,Sedan,,,,2023-04-27 15:40:00,15,Thursday,4,WILLIAMSBURG BRIDGE OUTER ROADWA,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan']"
QUEENS,11418,40.698257,-73.82632,"(40.698257, -73.82632)",123 STREET,89 AVENUE,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4566408,Sedan,E-Scooter,,,,2022-09-22 16:16:00,16,Thursday,9,123 STREET_89 AVENUE,"['Passing or Lane Usage Improper', 'Unspecified']","['Sedan', 'E-Scooter']"
,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,,,,2022-06-29 16:00:00,16,Wednesday,6,WILLIAMSBURG BRIDGE OUTER ROADWA,"['Driver Inattention/Distraction', 'Unspecified']","['Motorscooter', 'Station Wagon/Sport Utility Vehicle']"
,,,,,HUTCHINSON RIVER PARKWAY,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4407665,Station Wagon/Sport Utility Vehicle,,,,,2021-04-15 16:15:00,16,Thursday,4,HUTCHINSON RIVER PARKWAY,['Pavement Slippery'],['Station Wagon/Sport Utility Vehicle']
,,,,,THROGS NECK BRIDGE,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4456591,Sedan,Sedan,,,,2021-07-07 11:42:00,11,Wednesday,7,THROGS NECK BRIDGE,"['Unsafe Lane Changing', 'Unspecified']","['Sedan', 'Sedan']"
,,,,,PELHAM PARKWAY SOUTH,WILLIAMSBRIDGE ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4624101,Sedan,,,,,2023-04-27 22:13:00,22,Thursday,4,PELHAM PARKWAY SOUTH_WILLIAMSBRIDGE ROAD,"['Driver Inattention/Distraction', 'Unspecified']",['Sedan']
BROOKLYN,11225,40.663303,-73.96049,"(40.663303, -73.96049)",,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4545699,Sedan,,,,,2022-07-12 17:50:00,17,Tuesday,7,44        EMPIRE BOULEVARD,"['Oversized Vehicle', 'Unspecified']",['Sedan']
,,40.720535,-73.88885,"(40.720535, -73.88885)",ELIOT AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,4456659,Bus,,,,,2021-07-09 00:43:00,0,Friday,7,ELIOT AVENUE,['Unspecified'],['Bus']
,,40.607685,-74.13892,"(40.607685, -74.13892)",STATEN ISLAND EXPRESSWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022-04-24 16:45:00,16,Sunday,4,STATEN ISLAND EXPRESSWAY,"['Driver Inattention/Distraction', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
,,40.855972,-73.869896,"(40.855972, -73.869896)",BOSTON ROAD,BRONX PARK EAST,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521759,Station Wagon/Sport Utility Vehicle,Sedan,,,,2022-04-24 04:49:00,4,Sunday,4,BOSTON ROAD_BRONX PARK EAST,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Sedan']"
,,40.790276,-73.9396,"(40.790276, -73.9396)",EAST 107 STREET,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4522226,E-Bike,,,,,2022-04-22 17:17:00,17,Friday,4,EAST 107 STREET,['Traffic Control Disregarded'],['E-Bike']
BROOKLYN,11220,40.642986,-74.01621,"(40.642986, -74.01621)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4522015,Station Wagon/Sport Utility Vehicle,,,,,2022-04-24 01:30:00,1,Sunday,4,5610      4 AVENUE,['Unspecified'],['Station Wagon/Sport Utility Vehicle']
QUEENS,11411,0.0,0.0,"(0.0, 0.0)",,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4521460,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022-04-24 06:00:00,6,Sunday,4,116-44    234 STREET,"['Unsafe Lane Changing', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
BRONX,10452,40.843906,-73.92413,"(40.843906, -73.92413)",BOSCOBEL PLACE,UNIVERSITY AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4522156,Taxi,Station Wagon/Sport Utility Vehicle,,,,2022-04-24 21:40:00,21,Sunday,4,BOSCOBEL PLACE_UNIVERSITY AVENUE,"['Alcohol Involvement', 'Unspecified']","['Taxi', 'Station Wagon/Sport Utility Vehicle']"
BRONX,10466,40.89481,-73.86183,"(40.89481, -73.86183)",BRONX RIVER PARKWAY,EAST 233 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521633,Sedan,,,,,2022-04-24 17:45:00,17,Sunday,4,BRONX RIVER PARKWAY_EAST 233 STREET,"['Driver Inattention/Distraction', 'Unspecified']",['Sedan']
,,0.0,0.0,"(0.0, 0.0)",EAST 162 STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4522124,Station Wagon/Sport Utility Vehicle,E-Scooter,,,,2022-04-15 06:11:00,6,Friday,4,EAST 162 STREET,"['Driver Inattention/Distraction', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'E-Scooter']"
,,40.85169,-73.95238,"(40.85169, -73.95238)",CROSS BRONX EXPY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521937,Sedan,,,,,2022-04-24 09:51:00,9,Sunday,4,CROSS BRONX EXPY,['Unspecified'],['Sedan']
BRONX,10453,40.861862,-73.91275,"(40.861862, -73.91275)",MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521801,Sedan,,,,,2022-04-24 00:00:00,0,Sunday,4,MAJOR DEEGAN EXPRESSWAY_WEST FORDHAM ROAD,"['Driver Inattention/Distraction', 'Unspecified']",['Sedan']
BROOKLYN,11207,40.666256,-73.900215,"(40.666256, -73.900215)",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4522285,Sedan,,,,,2022-03-08 20:00:00,20,Tuesday,3,360       SNEDIKER AVENUE,['Unspecified'],['Sedan']
MANHATTAN,10019,40.767242,-73.986206,"(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4521853,Station Wagon/Sport Utility Vehicle,Bike,,,,2022-04-24 15:35:00,15,Sunday,4,WEST 56 STREET_9 AVENUE,"['View Obstructed/Limited', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Bike']"
BROOKLYN,11230,40.62417,-73.97048,"(40.62417, -73.97048)",AVENUE J,OCEAN PARKWAY,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4522228,Sedan,Pick-up Truck,,,,2022-04-22 12:00:00,12,Friday,4,AVENUE J_OCEAN PARKWAY,['Unspecified'],"['Sedan', 'Pick-up Truck']"
,,40.679955,-73.97491,"(40.679955, -73.97491)",SAINT MARKS AVENUE,6 AVENUE,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4521702,Station Wagon/Sport Utility Vehicle,,,,,2022-04-24 13:10:00,13,Sunday,4,SAINT MARKS AVENUE_6 AVENUE,"['Turning Improperly', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
BROOKLYN,11221,40.692356,-73.94282,"(40.692356, -73.94282)",THROOP AVENUE,DE KALB AVENUE,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2022-04-24 04:20:00,4,Sunday,4,THROOP AVENUE_DE KALB AVENUE,"['Traffic Control Disregarded', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
,,40.78291,-73.98578,"(40.78291, -73.98578)",HENRY HUDSON PARKWAY,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4522196,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022-04-20 19:37:00,19,Wednesday,4,HENRY HUDSON PARKWAY,"['Driver Inexperience', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,40.67308,-73.91124,"(40.67308, -73.91124)",ROCKAWAY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521758,Sedan,Sedan,,,,2022-04-24 16:14:00,16,Sunday,4,ROCKAWAY AVENUE,['Unspecified'],"['Sedan', 'Sedan']"
BROOKLYN,11203,40.65011,-73.930214,"(40.65011, -73.930214)",UTICA AVENUE,SNYDER AVENUE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4522136,Station Wagon/Sport Utility Vehicle,,,,,2022-04-12 19:56:00,19,Tuesday,4,UTICA AVENUE_SNYDER AVENUE,['Failure to Yield Right-of-Way'],['Station Wagon/Sport Utility Vehicle']
QUEENS,11434,40.638382,-74.03668,"(40.638382, -74.03668)",BELT PARKWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4521469,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,2022-04-24 00:30:00,0,Sunday,4,BELT PARKWAY,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan', 'Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11419,40.69261,-73.81143,"(40.69261, -73.81143)",,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,4521859,Sedan,,,,,2022-04-24 20:13:00,20,Sunday,4,102-24    VANWYCK EXPRESSWAY,['Aggressive Driving/Road Rage'],['Sedan']
QUEENS,11101,40.745235,-73.937706,"(40.745235, -73.937706)",THOMSON AVENUE,SKILLMAN AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4521590,Sedan,Sedan,,,,2022-04-24 15:21:00,15,Sunday,4,THOMSON AVENUE_SKILLMAN AVENUE,['Driver Inattention/Distraction'],"['Sedan', 'Sedan']"
,,,,,VANWYCK EXPRESSWAY,109 AVENUE,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4521902,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022-04-24 10:27:00,10,Sunday,4,VANWYCK EXPRESSWAY_109 AVENUE,['Traffic Control Disregarded'],"['Sedan', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11106,40.758705,-73.93793,"(40.758705, -73.93793)",21 STREET,37 AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4521684,Sedan,Sedan,,,,2022-04-24 21:00:00,21,Sunday,4,21 STREET_37 AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan']"
